"Contact Details","Chi tiết liên hệ"
"Update to your %store_name credit memo","Cập nhật các bản ghi nhớ tín dụng %store_name của bạn"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Đơn đặt hàng của bạn #%increment_id đã được cập nhật với trạng thái <strong>%order_status</strong>."
"Invoice for your %store_name order","Các hóa đơn cho các đơn đặt hàng %store_name"
"Your Invoice #%invoice_id for Order #%order_id","Hoá đơn %invoice_id # cho các đơn đặt hàng #%order_id"
"Update to your %store_name invoice","Cập nhật các hoá đơn của bạn %store_name"
"Your %store_name order confirmation","Xác nhận đơn đặt hàng của bạn %store_name"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Khi hàng của bạn được vận chuyển chúng tôi sẽ gửi cho bạn dãy số theo dõi."
"Your Order <span class=""no-link"">#%increment_id</span>","Đơn đặt hàng của bạn <span class=""no-link""> #%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Đặt trên <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Một khi gói của bạn được vận chuyển, chúng tôi sẽ gửi một email với một liên kết để theo dõi đơn hàng của bạn."
"Update to your %store_name order","Cập nhật %store_name các đơn đặt hàng"
"Your %store_name order has shipped","Đơn đặt hàng %store_name đã vận chuyển"
"Your shipping confirmation is below. Thank you again for your business.","Sự xác nhận vận chuyển của bạn ở dưới đây. Cảm ơn vì giao dịch của bạn."
"Your Shipment #%shipment_id for Order #%order_id","Vận chuyển #%shipment_id cho đơn hàng #%order_id"
"Update to your %store_name shipment","Cập Nhật cho %store_name sự gửi hàng của bạn"
"Please enter a coupon code!","Please enter a coupon code!"
"Gift Options for ","Tùy chọn Quà tặng cho "
"Get available payment methods","Get available payment methods"
"Add Products","Thêm sản phẩm"
"You have item changes","Bạn có sản phẩm thay đổi"
"Ok","đồng ý"
"Operations","Toán tử"
"Create","Tạo"
"Send Order Email","Gửi Email đơn đặt hàng"
"Accept or Deny Payment","Chấp nhận hoặc từ chối thanh toán"
"Send Sales Emails","Gửi email bán hàng"
"Sales Section","Bán phần"
"Sales Emails Section","Phần email khuyến mại"
"General","Chung"
"Hide Customer IP","Khách hàng ẩn IP"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Chọn một khách hàng IP được thể hiện trong đơn hàng, hóa đơn, các lô hàng và tín dụng ghi nhớ."
"Checkout Totals Sort Order","Thứ tự sắp xếp thanh toán tổng số"
"Allow Reorder","Cho phép đặt hàng lại"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Invoice and Packing Slip Design","Hóa đơn và đóng gói thiết kế trượt"
"Logo for PDF Print-outs (200x50)","Biểu tượng cho in PDF (200 x 50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Biểu tượng mặc định của bạn sẽ được sử dụng trong PDF và HTML.< br />(jpeg, tiff, png) nếu hình ảnh pdf của bạn bị bóp méo, hãy thử sử dụng tập tin hình ảnh có kích thước lớn hơn."
"Logo for HTML Print View","Biểu tượng cho HTML chế độ xem trước khi in"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Biểu tượng cho văn bản HTML. Nếu để trống, giá trị mặc định sẽ được sử dụng.<br />(jpeg, gif, png)"
"Address","Địa chỉ"
"Minimum Order Amount","Số lượng đặt hàng tối thiểu"
"Enable","Kích hoạt"
"Minimum Amount","Số tiền tối thiểu"
"Subtotal after discount.","Subtotal after discount."
"Include Discount Amount","Include Discount Amount"
"Include Tax to Amount","Bao gồm thuế vào số tiền"
"Description Message","Thông báo mô tả"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Thư này sẽ được hiển thị trong giỏ mua hàng khi tổng phụ (sau khi chiết khấu) là thấp hơn số lượng tối thiểu cho phép."
"Error to Show in Shopping Cart","Lỗi hiển thị trong giỏ hàng"
"Validate Each Address Separately in Multi-address Checkout","Xác nhận mỗi địa chỉ một cách riêng biệt trong nhiều địa chỉ thanh toán"
"Multi-address Description Message","Thư Mô tả nhiều địa chỉ"
"We'll use the default description above if you leave this empty.","Chúng tôi sẽ sử dụng mặc định mô tả ở trên nếu bạn để điều này trống."
"Multi-address Error to Show in Shopping Cart","Nhiều lỗi địa chỉ để hiển thị trong giỏ hàng"
"We'll use the default error above if you leave this empty.","Chúng tôi sẽ sử dụng mặc định lỗi ở trên nếu bạn để điều này trống."
"Dashboard","Bảng điều khiển"
"Use Aggregated Data","Sử dụng dữ liệu tổng hợp"
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Orders Cron Settings","Thiết lập Đơn đặt hàng Cron"
"Pending Payment Order Lifetime (minutes)","Đang chờ xử lý thanh toán suốt đời (phút)"
"Sales Emails","Email khuyến mại"
"Asynchronous sending","Gửi không đồng bộ"
"Limit per cron run","Limit per cron run"
"Enabled","Cho phép"
"New Order Confirmation Email Sender","Người gửi Email xác nhận đơn đặt hàng mới"
"New Order Confirmation Template","Mẫu xác nhận đơn đặt hàng mới"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Mẫu Email được lựa chọn dựa trên chủ đề dự phòng khi tùy chọn ""Mặc định"" được chọn."
"New Order Confirmation Template for Guest","Mẫu xác nhận đơn đặt hàng mới cho khách"
"Send Order Email Copy To","Gửi đơn đặt hàng Email sao cho"
"Comma-separated.","Comma-separated."
"Send Order Email Copy Method","Gửi Email phương pháp sao chép đơn đặt hàng"
"Order Comment Email Sender","Người gửi Email bình luận"
"Order Comment Email Template","Mẫu Email Để bình luận"
"Order Comment Email Template for Guest","Mẫu Email Để bình luận cho khách"
"Send Order Comment Email Copy To","Gửi bản sao Email để bình luận để"
"Send Order Comments Email Copy Method","Gửi phương pháp sao chép email bình luận"
"Invoice Email Sender","Người gửi Email hóa đơn"
"Invoice Email Template","Mẫu Email Hoá đơn"
"Invoice Email Template for Guest","Mẫu Email Hoá đơn cho khách"
"Send Invoice Email Copy To","Gửi hoá đơn Email sao chép cho"
"Send Invoice Email Copy Method","Gửi phương pháp sao chép email hóa đơn"
"Invoice Comment Email Sender","Người gửi Email hóa đơn bình luận"
"Invoice Comment Email Template","Mẫu Email nhận xét Hoá đơn"
"Invoice Comment Email Template for Guest","Mẫu Email nhận xét Hoá đơn cho khách"
"Send Invoice Comment Email Copy To","Gửi Email sao chép nhận xét hoá đơn cho"
"Send Invoice Comments Email Copy Method","Gửi Email phương pháp sao chép nhận xét hoá đơn"
"Shipment","Lô hàng"
"Shipment Email Sender","Lô hàng Email người gửi"
"Shipment Email Template","Lô hàng Email mẫu"
"Shipment Email Template for Guest","Mẫu email vận chuyển cho khách"
"Send Shipment Email Copy To","Gửi bản sao Email lô hàng đến"
"Send Shipment Email Copy Method","Gửi phương pháp sao chép Email lô hàng"
"Shipment Comments","Bình luận Vận chuyển"
"Shipment Comment Email Sender","Người gửi Email bình luận vận chuyển"
"Shipment Comment Email Template","Mẫu Email bình luận Lô hàng"
"Shipment Comment Email Template for Guest","Mẫu Email bình luận Lô hàng cho khách"
"Send Shipment Comment Email Copy To","Gửi Email sao chép bình luận lô hàng cho"
"Send Shipment Comments Email Copy Method","Gửi Email phương pháp sao chép bình luận lô hàng"
"Credit Memo Email Sender","Người gửi Email ghi nhớ tín dụng"
"Credit Memo Email Template","Mẫu Email ghi nhớ tín dụng"
"Credit Memo Email Template for Guest","Mẫu Email ghi nhớ tín dụng cho khách"
"Send Credit Memo Email Copy To","Gửi bản sao Email ghi nhớ tín dụng đến"
"Send Credit Memo Email Copy Method","Gửi phương pháp bản sao Email ghi nhớ tín dụng"
"Credit Memo Comment Email Sender","Bình luận người gửi Email ghi nhớ tín dụng"
"Credit Memo Comment Email Template","Mẫu bình luận Email ghi nhớ tín dụng"
"Credit Memo Comment Email Template for Guest","Mẫu Email bình luận ghi nhớ tín dụng cho khách"
"Send Credit Memo Comment Email Copy To","Gửi Email bản sao bình luận ghi nhớ tín dụng đến"
"Send Credit Memo Comments Email Copy Method","Gửi Email phương pháp sao chép bình luận ghi nhớ tín dụng"
"PDF Print-outs","In bản PDF"
"Display Order ID in Header","Hiển thị ID đơn hàng trên tiêu đề"
"Customer Order Status Notification","Thông báo trạng thái đơn đặt hàng của khách hàng"
"Grid Settings","Grid Settings"
"Asynchronous indexing","Không đồng bộ chỉ mục"
"Create New Account Options","Create New Account Options"
"Email is required field for Admin order creation","Email is required field for Admin order creation"
"If set YES Email field will be required during Admin order creation for new Customer.","If set YES Email field will be required during Admin order creation for new Customer."
"Orders and Returns Search Form","Mẫu tìm kiếm Đơn đặt hàng và trả hàng"
"Anchor Custom Title","Tiêu đề tùy chỉnh Anchor"
"Template","Mẫu"
"Default Template","Mẫu Mặc định"
"Name","Tên"
"Phone","Điện thoại"
"ZIP/Post Code","Số ZIP/Post Code"
"Signed-up Point","Đã đăng lên điểm"
"Website","Trang web"
"Bill-to Name","Tên người thanh toán"
"Created","Đã tạo"
"Invoice Date","Ngày Hoá đơn"
"Ship-to Name","Tên người vận chuyển đến"
"Ship Date","Ngày vận chuyển"
"Total Quantity","Tổng số Số lượng"
"Default Status","Trạng thái mặc định"
